ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
03/08/2020,,Latvia,2020-03-08 10:33:03,2.0,0.0,0.0,Latvia,BALTICS                            ,2274735.0,64589.0,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,3.0,9.24,13.66,0.04,0.261,0.6990000000000001
03/08/2020,,Martinique,2020-03-07 03:23:05,2.0,0.0,0.0,Martinique,LATIN AMER. & CARIB    ,436131.0,1100.0,396.5,31.82,-0.05,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06,0.11,0.83
03/08/2020,,Morocco,2020-03-05 13:53:03,2.0,0.0,0.0,Morocco,NORTHERN AFRICA                    ,33241259.0,446550.0,74.4,0.41,-0.98,41.62,4000.0,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,0.217,0.35700000000000004,0.426
03/08/2020,,Tunisia,2020-03-08 21:13:10,2.0,0.0,0.0,Tunisia,NORTHERN AFRICA                    ,10175014.0,163610.0,62.2,0.7,-0.57,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55
03/08/2020,,Andorra,2020-03-02 20:23:16,1.0,0.0,0.0,Andorra,WESTERN EUROPE                     ,71201.0,468.0,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,3.0,8.71,6.25,,,
03/08/2020,,Armenia,2020-03-01 19:53:02,1.0,0.0,0.0,Armenia,C.W. OF IND. STATES ,2976372.0,29800.0,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.239,0.343,0.418
03/08/2020,,Bhutan,2020-03-06 15:43:02,1.0,0.0,0.0,Bhutan,ASIA (EX. NEAR EAST)         ,2279723.0,47000.0,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,2.0,33.65,12.7,0.258,0.379,0.363
03/08/2020,"London, ON",Canada,2020-02-12 18:53:03,1.0,0.0,1.0,Canada,NORTHERN AMERICA                   ,33098932.0,9984670.0,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
03/08/2020,,Colombia,2020-03-07 00:43:02,1.0,0.0,0.0,Colombia,LATIN AMER. & CARIB    ,43593035.0,1138910.0,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,2.0,20.48,5.58,0.125,0.342,0.5329999999999999
03/08/2020,,Gibraltar,2020-03-04 13:03:13,1.0,0.0,0.0,Gibraltar,WESTERN EUROPE                     ,27928.0,7.0,3989.7,171.43,0.0,5.13,17500.0,,877.7,0.0,0.0,100.0,,10.74,9.31,,,
03/08/2020,,Jordan,2020-03-03 15:33:02,1.0,0.0,0.0,Jordan,NEAR EAST                          ,5906760.0,92300.0,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,1.0,21.25,2.65,0.033,0.287,0.68
03/08/2020,,Liechtenstein,2020-03-04 01:33:07,1.0,0.0,0.0,Liechtenstein,WESTERN EUROPE                     ,33987.0,160.0,212.4,0.0,4.85,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06,0.39,0.55
03/08/2020,,Lithuania,2020-02-28 16:23:03,1.0,0.0,0.0,Lithuania,BALTICS                            ,3585906.0,65200.0,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,0.055,0.325,0.62
03/08/2020,Tibet,China,2020-02-12 06:43:02,1.0,0.0,1.0,China,ASIA (EX. NEAR EAST)         ,1313973713.0,9596960.0,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
03/08/2020,,Moldova,2020-03-08 05:13:07,1.0,0.0,0.0,Moldova,C.W. OF IND. STATES ,4466706.0,33843.0,132.0,0.0,-0.26,40.42,1800.0,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,0.213,0.233,0.555
03/08/2020,,Monaco,2020-02-29 00:33:01,1.0,0.0,0.0,Monaco,WESTERN EUROPE                     ,32543.0,2.0,16271.5,205.0,7.75,5.43,27000.0,99.0,1035.6,0.0,0.0,100.0,,9.19,12.91,0.17,,
